at,score,content
2025-02-13 13:34:31,5,"Aplikasinya bagus, memudahkan dalam berbelanja apalagi dengan dua fitur ambil di toko dan delivery, biasanya kalau malas antri langsung pesan saja di alfagift nanti ditoko barangnya sudah siap langsung diambil. Kalau malas keluar pesan yg fitur delivery, pengantarannya cepat, gratis ongkir dan personilnya ramah.. terima kasih alfagift memberi kemudahan dalam berbelanja Alfagift the best..."
2024-12-29 12:42:07,1,"dulu pas masih lewat wa konfirmasinya lebih mudah, sekarang saat lewat aplikasi komunikasi antar pelanggan dan kurirnya jadi tidak efektif. seringkali saat pesanan belum dikirim statusnya sudah disconnect, mana harus ditelpon itu juga kalo udah lewat sejam belum dikirim. apaan ini update malah makin payah pelayanannya, kecewa."
2025-02-13 09:16:46,5,"Bagus banget, sangat membantu.. tapi minta tolong donk opsi pembayaran misal salah klik via apa bisa back gtu pilih pembayaran yg lain, krna gk bsa back jdi nnti stoknya berkurang krna hrus pilih ulang. Trmksih"
2025-01-30 21:21:51,2,Sy sdh 3x coba pke alfagift. Pengiriman nya lama sekali pdhl ad batas wktu maksimalnya. Dr pihak tokonya jg slow respon klo dihub melalui chat aplikasinya. Mau cancel pesanan tp di menu aplikasinya tidak tersedia. Akhirnya terpaksa hrs menunggu lbih dari satu jam smpai pesanan dtg. Mhn utk perbaikan sistem pengantarannya lbih diperhatikan lagi.
2025-01-28 11:28:50,1,"Pengiriman'y lamaa padahal sudah pilih 1 jam dari transaksi selesai, balas chat pun juga lamaaaa...ada aplikasi ini utk mempermudah customer atau sedang berhalangan untuk membeli produk tanpa harus keluar rumah tapi kondisi hujan tidak lebat saja tidak bisa kirim, KECUALI BADAI baru tidak bisa kirim..."
2025-02-10 16:11:58,3,"Dulu aman² aja, tapi sekarang kenapa susah bgt masuk ke aplikasinya ya ? Cuma Muncul layar merah doang, please min bisa bantu ga gimana biar bisa ky biasanya soalnya saya kemarin belanja sampe sekarang belum ada pengiriman barang belanjaan nya dan aplikasinya juga eror ga bisa masuk² ke beranda cuma muncul layar merah doang 🙏🙏"
2025-01-12 21:39:57,1,"PELAYANAN TER LELETTT....... buang buang waktu dan uang, chat cuma di read aja, jarak gasampek 10 menit tapi sampek 3 jam baru dikirim??? Cs nya banyak alasan bilangnya orderan banyak giliram ditanya orderan berapa ga bisa jawab. Kocak banget!!! Kalo ga bisa maksimalin pengiriman gausah ada fitur pengiriman 1 jam. Bikin kecewa aja"
2025-02-05 10:56:15,1,"Aplikasi sangat buruk. Komplenan kendala ga ada penyelesaian nya dari pihak CS. Sangat lelet. Masalah saya belum terselesaikan , tapi pihak si cs selalu bilang sudah tersolved..... percuma komplen .. ga akan ditindak lanjuti sama pihak mereka.... minta bukti screenshoot tiap hari. Tapi komplenan perihal star ga terselesaikan sama sekali.... sangat buruk sekali aplikasi dan tim begitu juga team CS dan penanganan masalahnya"
2025-02-09 08:12:11,5,"ini yg namanya service bintang 5! hujan2 dunk mas nya ngirimin beras pagi2 pula, karena beli yg dari gudang juga jadi pilih delivery yg digabung ternyata tetep dikirimin dulu yg dari tokonya. SALUT sama alfagift yg SUPER apresiatif ke customernya!!"
2025-02-02 05:18:57,5,"memang saya bukan pembeli setia tapi sejak mendownload aplikasi ini semakin gak jelas 1. aplikasi terbuka lama 2. fungsi utamanya apa 3. kadang bon nya lama tampilnya 4. promo, voucher, point hangus begitu saja 5. jarang ada penawaran dari kasir"
2024-12-16 05:45:49,2,"maaf ya bintang 2 dl, karna beberapa hari ini harga ketika masuk keranjang tidak sama dg harga di katalognya. Harga katalog mengelabui pembeli dan itu ga cuma 1-2 barang aja, tapi buanyak. Udah seneng lagi promo murah, pas masuk keranjang harganya normal. Cek katalog lagi masih promo, kok ga konsisten gitu sistemnya."
2025-02-13 13:19:06,1,"Tolong dong untuk Alfamart Reang Kota Serang di perbaiki lagi yaa , secara sistem udah bagusssss banget , tapi toko 1 ini bandel nya berkali kali susah di bilangin , selalu naro barang di pagar tanpa konfirmasi barangnya udah sampe , selalu status pengiriman di selesaiikan dulu tapi barang belum ada , dan baru di kirim lebih lama .. tolong yaa untuk di tindaklanjuti lagi"
2025-02-13 06:28:48,5,"Aplikasinya sangat membantu di situasi saat ini, berbelanja makin mudah tinggal pilih barangnya klik,pesan dan di antar sampai tujuan mantap deh, gratis ongkir lagi.., pokoknya aplikasi ini the best ..."
2025-01-24 19:52:38,1,"Aku susah bangat daftarnya, gak bisa-bisa. Selalu saja bermasalah di bagian pembuatan password, di bilang expired lah. Padahal aku buat passwordnya udah sesuai dengan karakternya. Tapi masih aja salah. Tolong dong gimana tuh"
2025-01-19 17:09:32,3,"Klik Indomaret skrg sdh berubah total jadi mirip Alfagift. Minimalis, responsif, banyak diskon dan bisa di sort harganya. Sementara Alfagift blm ada perubahan apa2, sortnya masih berdasar nama barang. Saran utk Alfagift : 1. Sort berdasarkan harga dan toko penyedia 2. Harga dibuat lebih bersaing.."
2025-02-03 17:21:31,5,"aplikasi yang memuaskan, banyak promo, harga juga terjangkau dan waktu nunggu pesanan biasanya cuma 1 jam saja dan juga kurirnya pada ramah-ramah, banyakin lagi stok promonya karena sering kehabisan, segitu aja dulu dan terimakasih🙏🏻"
2025-01-21 10:41:12,3,"Kalo dibuka via apps hp, item barangnya gak sekomplit kalo dibuka via browser pc. Masalahnya kalo dibuka via browser pc sering auto log-out.. dan juga servernya sering error. Alfamart kyknya masih setengah2 nih nggarap model belanja online."
2025-02-11 09:11:58,5,"Solusi buat yg mager tinggal pencet"" barang sampek rumah. Pengirimannya cepat, banyak promo"" menarik, sekarang komunikasinya bisa langsung kewat aplikasi jafi lebih aman Best lah pokoknya"
2025-01-02 11:13:40,5,"Aku kasih bintang 5 buat ALFAGIFT, karena belanja untung dgn program harga spesial,suka banget belanja di Alfagift,karena banyak promo nya,dpt harga spesial,gak perlu biaya ongkos,praktis,mudah,cepat,belanjaan bisa gratis dianter sampe rumah & paling seru ada beli barang tebus murah. Semoga Alfagift senantiasa menjadi tempat belanja yg terlengkap,terbaik, tercanggih,semakin sukses & berkembang,semakin banyak promo, selalu menjaga kualitas & menjadi kesayangan customer & follower semuanya"
2024-12-29 13:12:52,1,"Alfagift masih kurang singkron dengan toko alfamart karna sekarang di alfagift barang stoknya ada, pas sudah dipesan dan dibayar ternyata ditoko barangnya kosong, mau minta dikembalikan uang tidak bisa karna tombol refaunnya baru muncul kalau pesanan selesai. Dan sampai sekarang barang yang saya pesan belum ada dan uang pun tidak dikembalikan,, jadi tolong diperbaiki lagi sistemnya karna ini bukannya mempermudah mala mempersulit."
2024-12-24 10:59:28,5,"Aku kasih bintang 5 untuk alfagift 🌟🌟🌟🌟🌟 karena belanja untung dengan voucher dari game pop it, belanja hemat, harga promo bisa di antar sampe rumah lagi dan pastinya gratis ongkir, jadi gak perlu capek2 ke toko, apalagi seperti sekarang lagi musim hujan,bawaan nya mager keluar2, tapi sangat terbantu dengan aplikasi alfagift ini, harapan kedepannya semoga alfagift lebih sering ngadain promo2 menarik lainnya supaya belanja makin untung, jadi uang bisa ditabung 💸"
2025-02-10 20:42:20,5,"Ya ampun, keren banget ini app, coba bayangin lu lg males keluar rumah. Trus tinggal klik2 di app, orderan kamu langsung nyampek. Uda gt lu bisa liat poin member lu disini. Dan bisa tau promonya alpa. Enak banget kan. Udah si menurut gw lu cpt download aja biar samaan kaya gw. Belanja sambil tiduran."
2025-01-02 07:00:36,4,"Koq error ya dua hari ini apk nya... Apa emg lagi error apa hp ku yk lagi bermasalah, aku cek upgrade tan apknya udh di upgrade koq... Tak cek koneksinya juga lancar koq, buat main medsos juga bisa... Mau belanja sambil ngelist + notal harganya jadi gak bisa dech🤦‍♀️"
2025-01-18 09:41:01,4,"App bagus, belanja jadi mudah karena bisa di antar langsung ke rumahl. Banyak informasi promo juga, dan yang paling saya suka adalah sistem point nya. Namun ada beberapa kekurangan juga di aplikasi alfagift ini. Diantaranya adalah struk yang kadang tidak masuk ke dalam aplikasi saat melakukan belanja secara offline, dan saat mau cek struk juga saya sampai saat ini gak tau di mana saya bisa cek struk hasil belanja offline saya."
2025-01-25 18:26:02,1,"Padahal minta 1jam setelah pembayaran Tapi belum dikirim juga, ngabarin karna banyak pengiriman, Tapi keselnya gak ada kejelasan kapan dikirim nya. Yg bikin kesel lagi di laporan nya pesanan dikirim pesanan diterima, padahal belum ada tuh kerumah. Bikin nambah kesel aja."
2024-12-03 06:59:31,5,"Paling suka belanja lewat alfagift, karna di kirim nya cepet bangettt, apalagi saat urgent butuh sesuatu, padahal saya pemilih yg paling cepet itu 1 jam setelah pembayaran, tapi ternyata gak dong, 10 menit setelah pesan udah sampai,Apalgi + nya tokonya Deket dari rumah, Intinya alfagift sangat membantu di saat kita tidak ada kendaraan untuk keluar. Sukses selalu Harapan saya semoga sering sering ada diskon harga aja ,terutama untuk harga beras, karna saya sering banget belanja beras di Algift"
2024-12-20 06:06:39,5,"Aku kasih bintang 5 buat aplikasi alfagift karena, sering banget ngadain promo promo yang menarik,yang bikin customer nya Puas banget, selain ituu pengantaran yang super cepat gratis ongkir pulaa, jujurly dengan adanya, pengantaran sampe depan rumah terbantu banget, bagi aku yang mempunyai anak kecil. Saran untuk kedepannya semakin baik lagi, dan bisa mengcover pengantaran ke daerah daerah terpelosok ya"
2025-01-21 20:00:30,2,"Duh ini Alfa cabang Cikarang ga amanah ini... tolong dibenahi ya Alfa Pusat. masa barang belum diterima oleh saya tetapi dalam aplikasi tertera barang sudah sampai kepada penerima.DAN JUGA BARANG TERSEBUT JAUH LEBIH LAMA SAMPAI DARIPADA ESTIMASI SEHARUSNYA(DIBAWAH 1JM)Tolong perbaiki agar lebih baik ya. Dan satu lagi, tolong tambahkan menu dimana pelanggan bisa melakukan komplain. disini aplikasinya kurang efektif bisa membuat 2 belah pihak saling berkomunikasi dengan baik dan benar. Terimakasih"
2025-01-19 22:30:18,2,"Tolong untuk aplikasi nya diperbaiki lagi, soalnya ada kendala ketika suara nada notif telpon kecil, saya merasa dirugikan gara2 kendala seperti ini dan juga kurir kesusahan untuk menelpon saya karena notif nadanya kecil. Tolong lebih diperhatikan lagi!!!"
2024-12-15 14:45:58,5,"Sangat rekomended, terlebih karena bisa gratis ongkir, dan sempat membandingkan dengan harga di toko langsung, ternyata lebih murah di sini Fiturnya mudah dimengerti, tidak asa kendala, pelayanannya juga baik. Apabila terjadi kendala seperti salah memilih alamat, customer service sigap dan sangat baik dalam membantu kendala yang di alami. Pengiriman juga cukup cepat, walau tentunya akan lebih cepat jika kita membeli langsung di minimarket. Akan tetapi, aplikasi ini sangat membantu."
2025-02-06 20:46:14,1,"Sy sering melakukan top up dana melalui alfamart Rp 50.000, Rp 50.000 Rp 50.000 dan isi pulsa telkomsel di history ada tulisan dapat point 100 tapi kenyataan point nya tidak bertambah, cuma PHP aja. Top up dana, belanja dapat point. Sungguh mengecewakam promosi alfamart tidak sesuai kemyataan."
2025-01-09 15:34:01,1,Pengalaman tidak menyenangkan dan paling menjengkelkan kirim belanjaan buat saudara di luar kota hampir 24 jam susah koordinasi. Belanjaan kecil mungkin. susah buat alamat di google maps harus klik nomor rumah orang lain. Beda nomor 8 dg 06 tapi nama tujuan jelas hp tujuan jelas. Dikoordinasi susah sampai postingan ini dikirim karena kecewa.
2025-01-24 22:12:37,2,Lama... lambat... Dari pesan sampai ke rumah 1 jam kemudian Tidak direkomendasikan abis ini akan saya uninstall..buruk sekali..saya nunggu 1.5 jam padahal sudah dibayar lunas..kalo belom siap dengan sumber daya nya ga usah lebay ikut ikutan punya aplikasi pengiriman begini...sangat tidak di rekomendasikan oleh saya kalo tidak mau kecewa
2025-01-28 14:14:37,2,"enak siii, jadi ga perlu dateng ke toko & yg penting gratis ongkir wkwk tapi kenapa stok di alfagift sering kosong ya? tapi kalo langsung dateng ke toko suka ada kayak nugget di keterangan alfagift-nya kosong mulu ga pernah restock😭 terus kalo belanja langsung ke toko, & struk nya masuk ke member(apk alfagift) suka lama masuk nya, bahkan nyampe 2-3 hari baru masuk *edit. kok apk ny eror ya?"
2025-01-30 00:27:20,1,"Paling males blanja di alfagift kalo promo nya main cashback poin ato cashback voucher, kebanyakan HOAX! Kalo dikomplen bilangnya slalu kuota terbatas, mana bukti kuota terbatas nya kalo gt?? Itukan cuma akal2an aja, tidak transparan brapa kuota dan sisa kuotanya. Coba contoh tu toko biru sbelah yg ad rincian kuotanya dan langsung diskon potong harga, lebih pasti dan lebih transparan."
2025-02-12 18:09:43,2,"Keunggulan nya emang produk lengkap, banyak diskon juga, tapi di beberapa Alfamart daerah Bogor mending di hilangkan aja fitur 1 jam sampai, soalnya sering banget lebih dari 1 jam tapi lebih dari 1 jam, bahkan pernah nunggu hampir 2 jam"
2025-02-08 14:19:14,1,"Dana saya belum di proses sudah complaint tp tidak ada tindakan, payment sukses tpi di aplikasi alfagift dibatalkan system uang d terima tapi barang tidak di kirim. Follow up trlalu lambat karna yg balas hanya AI . Aplikasi bapuk!!!"
2025-02-01 21:08:31,1,kok bisa² nya ada alesan barang ga dikirim cuma gara² hujan.kan seharusnya emang begitu kita pesan kan emang LG ga bisa keluar .kalo bisa keluar dah brangkat beli sendiri ga beli online. kurirnya terlalu banyak alesan .yang pertama alesan cuaca terus kedua alesan antri .bilang aja kalo ga bisa kirim
2025-02-10 22:11:19,5,"banyak promo , barang lengkap , dan pastinya kalo pas mager kalian bisa scroll dan langsung di antar sampai depan pintu 🫶🏼 apalagi pas musim hujan , sangat recommended bgt untuk membantu kita kalo butuh apa apa mendadak 🫶🏼"
2025-02-10 18:36:11,5,Aplikasinya lumayan hanya untuk melihat harga barang untuk perbandingan di toko lain saja bila ada yang lebih deket dan lebih murah kenapa tidak... Tidak beli yang lebih efisien saja 😉
2025-01-30 20:27:14,3,"Aplikasinya bagus, pelayanannya bagus namun kadang dapat keadaan yg kurang mengenakkan, kadang barang yg kita pesan di aplikasi ada namun di toko tidak ada jadi kurir yg bawa kadang cuman mengembalikan uang tanpa penjelasan yang kurang meyakinkan, barusan tadi juga saya membeli or*o dengan harga 11k di apk namun yg di kembalikan oleh kurir hanya 9k, saya tidak masalah barangnya ada atau tidak namun untuk jumlah uang di kembalikan kurang dari harga yg tercantum di aplikasi, mohon dibenahi"
2025-02-13 08:15:35,5,"Aplikasi ini sangat membantu untuk kebutuhan sehari-hari tidak perlu ke toko untuk berbelanja cukup pesan saja di aplikasi barang sudah diantar kerumah serta pengiriman cepat, gratis ongkir, dan kurir yang sangat ramah"
2025-02-09 23:56:03,1,"Udh sring belanja ...tp gara""hp keriset ilang smua apk nya .. download ulang udh bner msukin kata sandi sm password ny tetep aja bsa masuk.udh dua kali bkin baru pke no beda ..ini ga bsa masuk lg ke apk nya . Sya kecewa ,pdhal udh sring belanja di alfagift."
2025-02-01 21:23:44,1,"Pesan dari jam 18:15 sudah checkout dan pembayaran berhasil, namun sampai jam 21:20 pesanan tak kunjung diantar, lokasi alfamart bendungan hilir 3. Padahal saya sudah memilih opsi untuk diantar maks 1 jam dari pemesanan Niat jualan gak sih? Bikin aplikasi dan pelayanan setengah setengah, payah 👎👎👎👎👎👎👎"
2025-02-03 16:09:26,5,"Bintang lima buat ALFAGIFT. jadi solusi buat kaum mageran dan udah plus free ongkir, pengiriman nya cepat, banyak promonya, kurir nya juga ramah, pelayanannya bagus, pilihannya juga banyak ya sama seperti supermarket pada umumnya. Alfagift Bagus banget deh👍👍 ...."
2025-02-13 12:34:42,5,"Aplikasi alfagift ini sdh banyak perbaikan, semakin simple dan tdk perlu lg bawa kartu member fisik. Pilihan produk lengkap dan banyak bgt promo discount nya, personel yg antar jg gercep & ramah. Sukses trs utk Alfamart. Alfamart Jaya Selalu"
2025-02-05 08:39:55,3,"Untuk aplikasi nya sangat membantu sekali apalagi ketika susu anak habis langsung kirim plus gratis ongkir Hanya minim di karyawan yg ngirim nya, menurut saya seperlunya aja gk ada senyum² alias gk ramah Saran aja walaupun pegawai toko gk seperti ekspedisi pada umum nya tapi tetap utamakan dari segi pelayanan yang ramah juga biar sama² enak karna saya juga pembeli"
2025-01-30 20:20:43,1,"Milih pengiriman yang sejam setelah pembayaran karena uda malam, tapi ternyata sejam gak kunjung datang. Aplikasinya mempermudah berbelanja, tapi kurirnya kurang profesional, di chat pun gak di balas."
2025-02-11 20:01:27,5,"Aplikasi bagus tinggal nunggu, dibrumah sudah bisa di antar samapy tujuan, Gak perlu ribet keluar rumah, 30 mnit belnjaan sampai tujuan .."
2025-01-28 11:33:41,1,Saya pesen barang di alfagift 8.48 sampai sekarang sudah pukul 12.32 barang saya belum sayang.sudah 3 jam saya menunggu ini.distatus pengiriman dari 2 jam yg lalu sampai sekarang belum sampe.mengecewakan dari pagi saya menunggu sampai sekarang belum datang.tolong yah pelayanannya ditingkatkan
2025-02-10 17:09:56,5,"Sangat memudahkan untuk belanja keperluan sehari-hari. Selain banyak barang yang lengkap beserta promo yang menarik, karena juga lebih praktis untuk belanja"
2025-02-11 08:59:37,5,"Aplikasi bagus, Mempermudah belanja dan bisa lihat Daftar harganya. Lihat promonya..Pengiriman cepat."
2025-02-13 06:41:48,5,"Aplikasi yg sangat membantu nih, solusi buat yg mager...apalagi pas musim hujan , Ga perlu keluar rumah kalau mau belanja,pengiriman cepat&gratis,produk lengkap dan yg pastinya harga terjangkau👍"
2025-02-13 07:23:50,5,"sangat mudah di gunakan, setiap kali belanja bisa nambah poin, barang lengkap dan banyak promonya apalagi kalau ada event tertentu bisa dapat voucher belanja loh😍😍"
2025-01-26 10:31:28,1,Aplikasinya jelek gak interaktif. Mau pesen kopi bean tanpa gula gak ada menu catatannya. Akhirnya yang datang selalu pakai gula. Malah di suruh kirim pesaan k IG. Udah buat pesan di IG malah di balas AI. Gk ada pilihan buat pengaduan dan komplain aplikasi. Aneh ini aplikasi.
